iter	Passed	Remaining
741	4034	1402
742	4118	1424
743	4121	1418
744	4128	1413
745	4132	1406
746	4134	1400
747	4136	1393
748	4142	1388
749	4146	1382
750	4148	1375
751	4151	1369
752	4158	1364
753	4161	1357
754	4164	1351
755	4166	1344
756	4168	1338
757	4174	1332
758	4177	1326
759	4180	1320
760	4189	1315
761	4191	1309
762	4192	1302
763	4194	1295
764	4196	1289
765	4198	1282
766	4204	1277
767	4207	1271
768	4209	1264
769	4211	1257
770	4213	1251
771	4218	1245
772	4221	1239
773	4223	1233
774	4225	1226
775	4226	1220
776	4228	1213
777	4234	1208
778	4237	1202
779	4243	1196
780	4253	1192
781	4255	1186
782	4257	1179
783	4260	1173
784	4269	1169
785	4271	1162
786	4276	1157
787	4282	1152
788	4283	1145
789	4286	1139
790	4288	1133
791	4291	1126
792	4297	1121
793	4299	1115
794	4301	1109
795	4303	1102
796	4305	1096
797	4307	1090
798	4309	1084
799	4311	1077
800	4313	1071
801	4315	1065
802	4316	1059
803	4318	1052
804	4324	1047
805	4326	1041
806	4328	1035
807	4329	1028
808	4332	1022
809	4334	1016
810	4339	1011
811	4341	1005
812	4344	999
813	4346	993
814	4347	986
815	4349	980
816	4351	974
817	4353	968
818	4356	962
819	4358	956
820	4359	950
821	4365	945
822	4369	939
823	4372	933
824	4376	928
825	4388	924
826	4402	921
827	4404	914
828	4406	908
829	4408	902
830	4414	897
831	4416	891
832	4419	885
833	4421	880
834	4423	874
835	4429	868
836	4431	862
837	4432	856
838	4434	850
839	4436	845
840	4438	839
841	4443	833
842	4446	828
843	4447	822
844	4450	816
845	4451	810
846	4453	804
847	4459	799
848	4462	793
849	4466	788
850	4469	782
851	4476	777
852	4478	771
853	4481	766
854	4483	760
855	4485	754
856	4491	749
857	4493	743
858	4495	737
859	4497	732
860	4499	726
861	4505	721
862	4507	715
863	4510	709
864	4512	704
865	4514	698
866	4516	692
867	4522	687
868	4525	682
869	4526	676
870	4529	670
871	4532	665
872	4542	660
873	4546	655
874	4554	650
875	4558	645
876	4561	639
877	4562	634
878	4564	628
879	4572	623
880	4575	618
881	4579	612
882	4585	607
883	4587	601
884	4590	596
885	4592	590
886	4594	585
887	4596	579
888	4599	574
889	4602	568
890	4604	563
891	4606	557
892	4607	552
893	4613	546
894	4614	541
895	4616	535
896	4618	530
897	4620	524
898	4622	519
899	4628	514
900	4629	508
901	4632	503
902	4634	497
903	4636	492
904	4638	486
905	4645	481
906	4646	476
907	4648	471
908	4650	465
909	4651	460
910	4653	454
911	4659	449
912	4663	444
913	4666	439
914	4673	434
915	4676	428
916	4682	423
917	4692	419
918	4699	414
919	4707	409
920	4709	403
921	4711	398
922	4714	393
923	4716	387
924	4722	382
925	4724	377
926	4727	372
927	4728	366
928	4730	361
929	4733	356
930	4739	351
931	4740	345
932	4742	340
933	4744	335
934	4746	329
935	4752	324
936	4755	319
937	4758	314
938	4761	309
939	4768	304
940	4771	299
941	4774	293
942	4777	288
943	4780	283
944	4782	278
945	4784	273
946	4786	267
947	4788	262
948	4790	257
949	4796	252
950	4798	247
951	4799	242
952	4801	236
953	4804	231
954	4806	226
955	4814	221
956	4820	216
957	4828	211
958	4834	206
959	4842	201
960	4845	196
961	4848	191
962	4857	186
963	4859	181
964	4862	176
965	4871	171
966	4875	166
967	4878	161
968	4880	156
969	4888	151
970	4890	146
971	4893	140
972	4895	135
973	4898	130
974	4909	125
975	4912	120
976	4914	115
977	4919	110
978	4921	105
979	4923	100
980	4926	95
981	4928	90
982	4936	85
983	4940	80
984	4942	75
985	4945	70
986	4951	65
987	4956	60
988	4958	55
989	4961	50
990	4983	45
991	4987	40
992	4993	35
993	5002	30
994	5007	25
995	5016	20
996	5020	15
997	5022	10
998	5024	5
999	5028	0
